danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.613,0.764,-6.509,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,208187
0.687,0.845,-4.37,0.0576,0.1,0.0,0.0452,0.809,87.972,4Vxu50qVrQcycjRyJQaZLC,190227
0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,6b8Be6ljOzmkOmFslEb23P,225983
0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,1HNkqx9Ahdgi1Ixy2xkKkL,258987
0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307
0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0nJW01T7XtvILxQgC5J7Wh,213827
0.415,0.538,-12.71,0.0368,0.4,0.767,0.0674,0.449,95.121,6C2PfemHQul77DVpnvuAIs,170240
0.783,0.61,-6.124,0.0696,0.343,0.0,0.0983,0.418,100.047,5o3GnrcFtvkdf3zFznuSbA,214265
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,3528IXKpbb7OMjdjWYlbfD,177280
0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,0VwNdo84DaVYLIkbVO86ND,193147
0.652,0.802,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,0TvQLMecTE8utzoNmvXRbK,211933
0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,7wMq5n8mYSKlQIGECKUgTX,202533
0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,1XGmzt0PVuFgQYYnV2It7A,231173
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.702,0.795,-4.764,0.0568,0.329,0.0,0.0505,0.836,83.961,0JcKdUGNR7zI4jJDLyYXbi,247587
0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,0KKkJNfGyhkQ5aFogxQAPU,206693
0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,2Bs4jQEGMycglOfWPBqrVG,228133
0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,3DXncPQOG4VBw3QHh3S817,288600
0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,3fVnlF4pGqWI9flVENcT28,220440
0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,5Z3GHaZ6ec9bsiI5BenrbY,202547
0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,3U5JVgI2x4rDyHGObzJfNf,259333
0.778,0.549,-6.144,0.0473,0.0549,0.0,0.0724,0.802,133.041,3zSCNTXI7Ed0PiidZVmzIe,186040
0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000
0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,150.566,3yrSvpt2l1xhsV9Em88Pul,183307
